2019-02-21,23:01:32.347854 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_22'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:32.503433 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_23'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:32.669987 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_24'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:32.838539 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_25'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:33.003096 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_26'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:33.159679 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_27'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:33.315261 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_28'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:33.482814 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_29'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:33.646375 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_30'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:33.802961 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_31'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:33.963529 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_32'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:34.127090 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_33'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:34.296636 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_34'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
