2019-02-21,23:04:37.493635 
2019-02-21,23:04:37.497622 
2019-02-21,23:04:37.500612 
2019-02-21,23:04:37.507595 
2019-02-21,23:04:37.532527 i am the current leader. Table={}
2019-02-21,23:04:37.534522 Publisher changes. Table={}
2019-02-21,23:04:37.536517 Subscriber changes. Table={}
2019-02-21,23:04:37.537515 broker started. mode=2, port=5555, znode=/Election/Broker_0000000056
2019-02-21,23:04:55.185313 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_38'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.204261 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_39'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.225205 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_40'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.244154 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_41'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.266096 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_42'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.284049 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_43'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.299008 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_44'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.313966 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_45'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.328928 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_46'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.342890 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_47'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.358848 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_48'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.374807 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_49'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.392758 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_50'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.410707 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_51'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.432654 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_52'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.451600 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_53'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.471545 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_54'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.488504 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_55'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.504456 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_56'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.519418 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_57'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.533384 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_58'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.548342 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_59'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.562304 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_60'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.578262 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_61'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.595214 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_62'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.614166 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_63'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.633116 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_64'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.653061 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_65'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.673006 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_66'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.692954 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_67'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.709908 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_68'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.726862 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_69'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.741824 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_70'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.756784 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_71'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.773737 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_72'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.792687 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_73'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.810638 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_74'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.828592 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_75'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.849535 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_76'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.868487 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_77'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.888429 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_78'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.905384 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_79'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.922338 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_80'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.937299 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_81'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.952260 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_82'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.967219 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_83'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.981182 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_84'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.001131 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_85'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.020080 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_86'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.037032 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_87'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.056981 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_88'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.074932 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_89'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.100869 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_90'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.117817 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_91'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.132778 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_92'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.147737 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_93'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.162697 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_94'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.177658 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_95'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.192616 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_96'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.211566 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_97'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.232510 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_98'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.250463 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_99'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
